127.0.0.1, 2016-03-10 18:29:34, GET, /welcome/default/initialize_default_data, HTTP/1.1, 500, 0.049000
127.0.0.1, 2016-03-10 18:29:36, GET, /admin/default/ticket/welcome/127.0.0.1.2016-03-10.18-29-34.55ce16d3-d13a-4c86-9b88-4851bfc8029e, HTTP/1.1, 200, 0.138000
127.0.0.1, 2016-03-10 18:30:09, GET, /welcome/default/initialize_default_data, HTTP/1.1, 303, 0.080000
127.0.0.1, 2016-03-10 18:30:09, GET, /welcome/default/initialize_default_data/login, HTTP/1.1, 500, 0.050000
127.0.0.1, 2016-03-10 18:30:11, GET, /admin/default/ticket/welcome/127.0.0.1.2016-03-10.18-30-09.185495ee-924c-49b6-81f7-6a52d4e7575a, HTTP/1.1, 200, 0.130000
127.0.0.1, 2016-03-10 18:30:40, GET, /welcome/default/initialize_default_data/login, HTTP/1.1, 500, 0.055000
127.0.0.1, 2016-03-10 18:30:42, GET, /admin/default/ticket/welcome/127.0.0.1.2016-03-10.18-30-40.ff5e1a68-2c67-40e6-b28a-6a868b83437d, HTTP/1.1, 200, 0.075000
127.0.0.1, 2016-03-10 18:39:28, GET, /welcome/default/initialize_default_data/login, HTTP/1.1, 500, 0.056000
127.0.0.1, 2016-03-10 18:39:32, GET, /admin/default/ticket/welcome/127.0.0.1.2016-03-10.18-39-28.011bc5a4-343e-4661-8222-48418a7aa8d7, HTTP/1.1, 200, 0.079000
127.0.0.1, 2016-03-10 18:41:47, GET, /welcome/default/initialize_default_data/login, HTTP/1.1, 200, 0.044000
127.0.0.1, 2016-03-10 18:42:22, GET, /welcome/default/wipe_server, HTTP/1.1, 200, 0.030000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/default/user, HTTP/1.1, 303, 0.016000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-03-10 18:42:45, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-03-10 18:42:46, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-03-10 18:42:46, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-03-10 18:42:46, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-03-10 18:43:04, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.027000
127.0.0.1, 2016-03-10 18:43:04, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.028000
